epoch,sample_point,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct,cuda_mem_util_pct,gpu_temp_c,gpu_temp_tlimit_c,gpu_power_w,gpu_clock_sm_mhz,gpu_clock_mem_mhz,gpu_fan_pct,gpu_throttled,cpu_pct,cpu_pct_per_core,ram_used_gb,swap_used_gb,disk_read_mb_s,disk_write_mb_s,nvsmi_vram_used_gb,vram_other_processes_gb,pcie_tx_kb_s,pcie_rx_kb_s,pcie_link_gen_current,pcie_link_width_current,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_temp_tlimit_c_min,gpu_temp_tlimit_c_avg,gpu_temp_tlimit_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,swap_used_gb_min,swap_used_gb_avg,swap_used_gb_max,swap_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,nvsmi_vram_used_gb_min,nvsmi_vram_used_gb_avg,nvsmi_vram_used_gb_max,nvsmi_vram_total_gb,vram_other_processes_gb_min,vram_other_processes_gb_avg,vram_other_processes_gb_max,pcie_tx_kb_s_min,pcie_tx_kb_s_avg,pcie_tx_kb_s_max,pcie_rx_kb_s_min,pcie_rx_kb_s_avg,pcie_rx_kb_s_max,pcie_link_gen_current_min,pcie_link_gen_current_avg,pcie_link_gen_current_max,pcie_link_width_current_min,pcie_link_width_current_avg,pcie_link_width_current_max,pcie_link_gen_max,pcie_link_width_max,data_wait_s,compute_s
1,31,,,,,,,100,97,64,20,224.6,2745,10801,33,0,8.1,0.9;14.9;2.8;1.5;1.5;0.3;29.0;43.8;7.4;4.3;46.6;37.5;0.6;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8;0.3;0.3,28.06,0.14,0.0,0.06,14.391,0.791,4248.0,11181.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,32,,,,,,,97,94,65,19,223.2,2745,10801,33,0,8.2,1.8;14.0;5.1;1.8;1.5;1.2;65.5;19.5;9.5;3.6;39.0;28.7;1.5;0.9;0.0;0.0;0.0;0.0;0.3;0.0;0.0;1.5;0.6;0.0,28.05,0.14,0.0,0.02,14.391,0.791,4541.0,10156.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,33,,,,,,,92,45,62,20,216.9,2745,10801,33,0,8.0,1.2;16.5;1.5;1.2;1.2;0.3;32.8;46.2;7.3;3.0;40.0;37.6;0.6;0.9;0.3;0.0;0.0;0.6;0.0;0.3;0.0;0.3;0.3;0.3,28.05,0.14,0.0,0.06,14.391,0.791,4882.0,11132.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34,,,,,,,98,93,65,20,224.3,2745,10801,33,0,7.8,0.9;11.6;4.0;3.4;1.5;0.3;42.5;32.2;8.6;2.5;38.3;37.4;0.6;0.6;0.0;0.3;0.3;0.0;0.0;0.0;0.6;0.0;0.3;0.0,28.04,0.14,0.0,0.06,14.391,0.791,15429.0,330615.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,35,,,,,,,100,97,64,20,224.2,2745,10801,33,0,8.5,1.2;11.2;2.4;1.2;1.5;1.5;65.2;31.3;11.0;6.7;38.1;27.4;0.3;0.6;0.0;0.0;0.6;0.9;0.0;0.0;0.0;0.6;1.2;0.0,28.06,0.14,0.0,0.02,14.391,0.791,4101.0,202197.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,36,,,,,,,97,91,65,19,224.7,2745,10801,33,0,8.0,0.9;15.7;5.6;3.1;0.6;0.6;34.3;41.0;5.5;4.3;34.9;41.8;0.3;0.9;0.3;0.0;0.3;0.0;0.3;0.0;0.0;0.6;1.2;0.0,28.06,0.14,0.0,0.03,14.391,0.791,4736.0,10058.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,37,,,,,,,98,96,64,21,224.8,2745,10801,33,0,8.7,1.2;18.7;2.4;1.8;0.3;0.9;43.6;39.4;6.1;4.5;40.9;34.5;0.9;0.3;0.0;0.0;0.0;0.0;1.5;10.9;0.6;0.0;0.0;0.0,28.08,0.14,0.0,0.13,14.391,0.791,10107.0,10498.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,38,,,,,,,100,100,66,18,223.8,2745,10801,33,0,7.8,0.3;12.9;2.1;1.5;0.0;0.3;55.3;35.9;7.6;7.0;39.9;22.3;0.3;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.6;0.0;0.0,28.06,0.14,0.01,0.05,14.391,0.791,4687.0,61621.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,39,,,,,,,100,98,65,18,224.7,2745,10801,33,0,8.0,0.6;15.6;3.7;2.5;0.9;0.6;22.7;45.2;3.4;9.2;35.7;49.7;0.3;0.6;0.0;0.0;0.3;0.3;0.0;0.0;0.0;0.0;0.0;0.0,28.07,0.14,0.0,0.08,14.391,0.791,4394.0,27343.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,40,,,,,,,97,96,64,18,223.3,2745,10801,33,0,8.2,1.8;15.1;2.5;2.5;1.5;1.5;60.1;24.5;8.3;2.8;25.8;46.2;0.3;0.6;0.3;0.0;0.3;0.3;0.6;0.6;0.3;0.3;0.0;0.0,28.05,0.14,0.0,0.05,14.391,0.791,4296.0,139062.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
